;Instant food products;hamburger meat;beef;root vegetables;liquor;bottled beer;herbs;rice;citrus fruit;other vegetables;tropical fruit;rolls/buns;soda;whole milk;yogurt;whipped/sour cream;berries;butter;bottled water;brown bread;domestic eggs;fruit/vegetable juice;butter milk;pip fruit;chicken;sausage;curd;onions;coffee;cream cheese ;pastry;dessert;frozen meals;frozen vegetables;grapes;hard cheese;hygiene articles;long life bakery product;margarine;oil;pork;sliced cheese;white bread;shopping bags;soft cheese;newspapers
cream cheese ;0;0;0;3.129267;0;0;0;0;0;3.115053;0;0;0;0;3.808195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pastry;0;0;0;0;0;0;0;0;0;0;3.17668;0;0;0;3.258349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dessert;0;0;0;0;0;0;0;0;0;3.082759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
frozen meals;0;0;0;0;0;0;0;0;0;0;3.438674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
frozen vegetables;0;0;0;3.669776;0;0;0;0;0;3.014757;0;0;0;4.454257;3.032771;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grapes;0;0;0;0;0;0;0;0;0;3.100893;3.854847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hard cheese;0;0;0;3.354096;0;0;0;0;0;3.19486;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hygiene articles;0;0;0;0;0;0;0;0;0;0;3.025409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
long life bakery product;0;0;0;0;0;0;0;0;0;3.279791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
margarine;0;0;0;3.226177;0;0;0;0;0;3.375122;0;0;0;0;3.316707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oil;0;0;0;3.636715;0;0;0;0;0;3.180403;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pork;0;0;0;3.394543;0;0;0;0;0;3.187029;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sliced cheese;0;0;0;3.814093;0;0;0;0;0;3.476759;3.212373;0;0;0;3.043175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white bread;0;0;0;0;0;0;0;0;0;3.158317;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
shopping bags;0;0;0;0;0;0;0;0;0;0;3.314796;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.270794;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
soft cheese;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.293574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
newspapers;0;0;0;3.356503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
